id,statute_id,section_number,heading,content,is_amended,amendment_notes,is_demo_data
33879f0b-d7b0-4b27-8b24-13a89758f7de,d0a3e178-5eaa-415b-b9d4-7195d0c518e7,Section 12A,Pre-Institution Mediation and Settlement,"(1) A suit, which does not contemplate any urgent interim relief under this Act, shall not be instituted unless the plaintiff exhausts the remedy of pre-institution mediation in accordance with such manner and procedure as may be prescribed by rules made by the Central Government.
(2) The Central Government may, by notification, authorise the Authorities constituted under the Legal Services Authorities Act, 1987, for the purposes of pre-institution mediation.
(3) The mediation process shall be completed within a period of three months from the date of application.",1,"Inserted by Act 28 of 2018, s. 11 (w.e.f. 3-5-2018). Mandatory compliance held in Patil Automation.",1
06a7aeb5-131d-4083-a285-e6640b8db0e9,d0a3e178-5eaa-415b-b9d4-7195d0c518e7,Section 2(1)(c),Definition of 'Commercial Dispute',"'commercial dispute' means a dispute arising out of—
(i) ordinary transactions of merchants, bankers, financiers and traders such as those relating to mercantile documents;
(ii) export or import of merchandise or services;
(iii) issues relating to admiralty and maritime law;
(vi) construction and infrastructure contracts, including tenders;
(vii) agreements relating to aircraft, aircraft engines, aircraft equipment;
(xviii) intellectual property rights relating to trade marks, copyright, patent, design, domain names;
and other mercantile transactions specified under sub-clauses (i) to (xxii).",0,,1
d6f14923-b893-4dac-8f50-4f00bba8f343,d0a3e178-5eaa-415b-b9d4-7195d0c518e7,Order XI CPC (Commercial),"Disclosure, Discovery and Inspection of Documents in Suits Before Commercial Division","Rule 1: Plaintiff shall file a list of all documents and photocopies of all documents in its power, possession, control or custody, pertaining to the suit, along with the plaint, including documents relating to any matter in question in the proceedings...
Rule 3: The plaint shall be verified and accompanied by a Statement of Truth in the form set out in the Appendix.",1,"As substituted by Commercial Courts Act, 2015 schedule.",1
2fd16c67-84c7-4548-a8c1-9055bdebf4ab,a1945c5b-18a7-4d06-9152-bb52cad5ccda,Section 9,"Interim measures, etc., by Court","(1) A party may, before or during arbitral proceedings or at any time after the making of the arbitral award but before it is enforced in accordance with section 36, apply to a court for an interim measure of protection...
(2) Where, before the commencement of the arbitral proceedings, a court passes an order for any interim measure of protection, the arbitral proceedings shall be commenced within a period of ninety days from the date of such order.",1,Amended by Act 3 of 2016 (w.e.f. 23-10-2015).,1
bdcaa9c6-e76c-4fbe-84b2-2bce9a906379,a1945c5b-18a7-4d06-9152-bb52cad5ccda,Section 34,Application for setting aside arbitral award,"(1) Recourse to a Court against an arbitral award may be made only by an application for setting aside such award in accordance with sub-section (2) and sub-section (3).
(2A) An arbitral award arising out of an arbitration other than international commercial arbitration, may also be set aside by the Court, if the Court finds that the award is vitiated by patent illegality appearing on the face of the award.",1,Patent illegality ground added by Act 3 of 2016.,1
27b3ffab-32ae-4a0d-81c5-40c9ba32d785,5bfe71f6-1e5c-44fe-95fd-2cc65dd92b25,Section 73,Compensation for loss or damage caused by breach of contract,"When a contract has been broken, the party who suffers by such breach is entitled to receive, from the party who has broken the contract, compensation for any loss or damage caused to him thereby, which naturally arose in the usual course of things from such breach, or which the parties knew, when they made the contract, to be likely to result from the breach of it.
Such compensation is not to be given for any remote and indirect loss or damage sustained by reason of the breach.",0,,0
8a28832c-aa5c-4b82-b6e7-f61a46d99ccc,5bfe71f6-1e5c-44fe-95fd-2cc65dd92b25,Section 74,Compensation for breach of contract where penalty stipulated for,"When a contract has been broken, if a sum is named in the contract as the amount to be paid in case of such breach, or if the contract contains any other stipulation by way of penalty, the party complaining of the breach is entitled, whether or not actual damage or loss is proved to have been caused thereby, to receive from the party who has broken the contract reasonable compensation not exceeding the amount so named or, as the case may be, the penalty stipulated for.
Explanation: A stipulation for increased interest from the date of default may be a stipulation by way of penalty.",0,Subject to landmark rule in Kailash Nath Associates v. DDA requiring proof of actual loss where ascertainable.,0
